编号,名字,性别,字号,年龄,正史,籍贯,父亲,母亲,兄弟,配偶,孩子,官职,主效,效力,总年数,年代列表,总章节,章节列表,历史,小说,头像,链接,效力数,配偶数
1135,修允,男,脩允,？-？,史实人物,青泥镇(江西抚州市临川区),修则,未知,未知,未知,未知,合浦太守,吴,吴,0,未知,0,未知,父修则，前都督。修则为晋将毛炅所杀，允随璜南征，城既降，允求复仇，璜不许。炅密谋袭璜，事觉，收炅，呵曰：“晋贼！”炅厉声曰：“吴狗！何等为贼？”允剖其腹，曰：“复能作贼不？”炅犹骂曰：“吾志杀汝孙皓，汝父何死狗也！”修允剖炅腹。后迁为桂林太守，因病，滞留广州，病死。,未知,http://www.e3ol.com/biography/pic/id/240/1135.jpg,http://www.e3ol.com/biography/html/修允/,1,0
5117,张姬,女,張姬,？-？,史实人物,暂无相关记载,未知,未知,未知,曹丕,未知,暂无相关记载,在野,在野,0,未知,0,未知,魏文帝曹丕夫人。,未知,http://www.e3ol.com/biography/pic/id/240/5117.jpg,http://www.e3ol.com/biography/html/张姬/,1,1
1030,刘范,男,劉範,？-194,史实人物,荆州江夏郡[魏]竟陵(湖北潜江市西北),刘焉,未知,刘诞|刘璋|刘瑁,未知,未知,左中朗将,东汉,东汉,1,公元194年,1,第10回,汉左中朗将。父焉，汉益州牧。与弟治书御史诞、侍中马宇、谏议大夫种邵为内应，同征西将军马腾谋袭长安，诛卓余党李傕。后计事不密，范、诞等被杀，事败。,汉左中朗将。为马腾的内应，欲诛李傕等。后事泄被杀。,http://www.e3ol.com/biography/pic/id/240/1030.jpg,http://www.e3ol.com/biography/html/刘范/,1,0
4687,荀憺,男,荀憺,？-？,史实人物,豫州颍川郡颍阴(河南许昌市),荀霬,未知,荀恺|荀悝,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,荀恺兄。官至少府。,未知,http://www.e3ol.com/biography/pic/id/240/4687.jpg,http://www.e3ol.com/biography/html/荀憺/,1,0
973,韩瑛,男,韓瑛,虚构人物,虚构人物,凉州(甘肃天水市张家川回族自治县),韩德,未知,韩瑶|韩琼|韩琪,未知,未知,先锋,魏,魏,1,公元228年,1,第92回,虚构人物，出自三国演义。,"西凉大将韩德长子。随父引西羌兵来助夏侯楙,被遣为先锋，取路至凤鸣山，正遇蜀军赵云。韩瑛当先跃马来迎；战不三合，被赵云一枪刺死于马下。",http://www.e3ol.com/biography/pic/id/240/973.jpg,http://www.e3ol.com/biography/html/韩瑛/,1,0
2532,郭述,男,郭述,？-？,史实人物,冀州巨鹿郡广宗(河北邢台市威县东),郭表,未知,郭训|郭详,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,父郭表卒，得分父爵为列侯。,未知,http://www.e3ol.com/biography/pic/id/240/2532.jpg,http://www.e3ol.com/biography/html/郭述/,1,0
5895,夏禹,男,文命,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,其他,其他,0,未知,5,第8回|第80回|第91回|第96回|第105回,姒姓夏后氏，名文命，号禹，后世尊称大禹，夏后氏首领，传说为帝颛顼的曾孙，黄帝轩辕氏第六代玄孙。他的父亲名鲧，母亲为有莘氏女修己。相传禹治黄河水患有功，受舜禅让继帝位。禹是夏朝的第一位天子，因此后人也称他为夏禹。他是我国传说时代与尧、舜齐名的贤圣帝王，他最卓著的功绩，就是历来被传颂的治理滔天洪水，又划定中国国土为九州。后人称他为大禹，也就是伟大的禹的意思。,夏朝时期人，演义中曾提到此人。,http://www.e3ol.com/biography/pic/id/240/5895.jpg,http://www.e3ol.com/biography/html/夏禹/,1,0
6106,丙吉,男,少卿,？-公元前55,史实人物,鲁国(山东济宁市曲阜),未知,未知,未知,未知,未知,暂无相关记载,其他,其他,0,未知,1,第103回,西汉大臣。治律令，本为鲁狱史，累迁廷尉监。武帝末诏治巫蛊郡邸狱。后任大将军霍光长史，建议迎立宣帝。地节三年为太子太傅，迁御史大夫。元康三年封博阳侯。神爵三年任丞相。政尚宽大。掾史不称职，辄给长假以去。,西汉大臣，丞相，政尚宽大。演义中有提到此人。,http://www.e3ol.com/biography/pic/id/240/6106.jpg,http://www.e3ol.com/biography/html/丙吉/,1,0
1158,杨肇,男,秀初,？-？,史实人物,司隶河南尹荧阳(河南荥阳市东北),杨暨,未知,未知,未知,杨潭|杨歆,折冲将军|荆州刺史|东武伯|谥曰戴伯,西晋,魏|西晋,0,未知,0,未知,晋折冲将军、荆州刺史。杨暨子，有才能，肇善草隶，初任任大将军参军，后迁折冲将军、领荆州刺史。吴将步阐举西陵降，肇与羊祜、徐胤领兵八万应之。胤率水军诣建平，肇至西陵。吴都督陆抗身率三军，凭围对肇。明日，肇攻故夷兵处，抗命旋军击之，矢石雨下，肇众伤死者相属。肇至经月，计屈夜遁。抗欲追之，而虑阐畜力项领，伺视间隙，兵不足分，于是但鸣鼓戒众，若将追者。肇众凶惧，悉解甲挺走，抗使轻兵蹑之，肇大破败，祜等皆引军还。及归朝，有司奏免肇为庶人。肇女，潘岳妻也，岳即安。肇孙经，亦善草隶。,未知,http://www.e3ol.com/biography/pic/id/240/1158.jpg,http://www.e3ol.com/biography/html/杨肇/,2,0
468,迷当,男,迷當,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,羌王,少数民族,少数民族,2,公元253年|公元254年,1,第109回,正始元年，蜀将姜维出陇西。魏将郭淮遂进军，追至强中，维退，遂讨羌迷当等，按抚柔氐三千馀落，拔徙以实关中。,蜀延熙十六年秋，将军姜维遣使赍金珠蜀锦入羌，结好羌王迷当，共讨魏。迷当得了礼物，便起兵五万，令羌将俄何烧戈为大先锋，引兵南安来。后魏将陈泰定计，生擒迷当。郭淮好言劝之，迷当降，从淮计，引魏军至蜀营，维及夏侯霸出迎，魏将不等迷当开言，就从背后杀将起来。 ,http://www.e3ol.com/biography/pic/id/240/468.jpg,http://www.e3ol.com/biography/html/迷当/,1,0
4592,徐琨,男,徐琨,？-？,史实人物,扬州吴郡富春(浙江杭州市富阳),徐真,未知,未知,未知,徐夫人|徐矫|徐祚,暂无相关记载,吴,吴,0,未知,0,未知,孙坚外甥，孙权表兄，徐真之子。少随坚征伐有功，拜偏将军。后随孙策征讨樊能、张英、笮融、刘繇等人，以功领丹阳太守。又以督军中郎将领兵，从策破庐江太守李术，封广德侯，迁平虏将军。后从讨黄祖，中流矢而死。,未知,http://www.e3ol.com/biography/pic/id/240/4592.jpg,http://www.e3ol.com/biography/html/徐琨/,1,0
4751,严遵,男,嚴遵,？-？,史实人物,扬州会稽郡余姚(浙江余姚市西北),未知,未知,未知,未知,未知,暂无相关记载,在野,在野,0,未知,0,未知,与刘秀同游学。后刘秀即帝位，欲重用他，不从，终身隐居不仕。,未知,http://www.e3ol.com/biography/pic/id/240/4751.jpg,http://www.e3ol.com/biography/html/严遵/,1,0
3899,宋寿,男,宋寿,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,在野,在野,0,未知,0,未知,精于占梦，十不失一云。,未知,http://www.e3ol.com/biography/pic/id/240/3899.jpg,http://www.e3ol.com/biography/html/宋寿/,1,0
6067,刘氏[毌丘俭孙女婿],男,劉氏,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,晋时人。娶三国时魏将领毌丘俭孙女。,未知,http://www.e3ol.com/biography/pic/id/240/6067.jpg,http://www.e3ol.com/biography/html/刘氏[毌丘俭孙女婿]/,1,0
943,董朝,男,董朝,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,吴,吴,1,公元258年,1,第113回,太平二年（257）孙綝遣朝迎孙休继位。先后任中书郎、中书令、司徒。孙皓当政时，甚受宠用。,吴国中书郎，与宗正孙楷往虎林，迎请琅琊王孙休为君。,http://www.e3ol.com/biography/pic/id/240/943.jpg,http://www.e3ol.com/biography/html/董朝/,1,0
3588,裴苞,男,裴苞,？-？,史实人物,司隶河东郡闻喜(山西运城市闻喜县),裴黎,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,裴黎子，曾任秦州刺史。,未知,http://www.e3ol.com/biography/pic/id/240/3588.jpg,http://www.e3ol.com/biography/html/裴苞/,1,0
6076,张美人[孙皓妻],女,張美人,？-？,史实人物,扬州吴郡(江苏苏州市),张布,未知,左夫人,孙皓,未知,暂无相关记载,吴,吴,0,未知,0,未知,孙皓妃子。左将军张布次女。孙皓甚宠张氏，封为美人。初孙皓杀丞相濮阳兴及左将军张布，后皓问美人：“你父何在？”美人答以“被贼所杀”，皓大怒，以棒杀之。后思其美貌，便刻木为美人像置座侧，并夺其姐姐冯纯妻为左夫人。,未知,http://www.e3ol.com/biography/pic/id/240/6076.jpg,http://www.e3ol.com/biography/html/张美人[孙皓妻]/,1,1
1308,刘豹[蜀],男,劉豹,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,议郎|阳泉侯,蜀,蜀,1,公元221年,1,第80回,议郎。建安二十二年，魏篡汉。豹、向举等上言：“建安二十二年，数有气，必有天子出其方。”遂与军师诸葛亮等请先主嗣大统。,阳泉侯。建安二十二年，魏篡汉。举与军师诸葛亮等请先主嗣大统。,http://www.e3ol.com/biography/pic/id/240/1308.jpg,http://www.e3ol.com/biography/html/刘豹[蜀]/,1,0
5133,张靖,男,張靖,？-？,史实人物,徐州广陵郡(江苏扬州市西北),张纮,未知,张玄,未知,未知,暂无相关记载,吴,吴,0,未知,0,未知,张纮之子。,未知,http://www.e3ol.com/biography/pic/id/240/5133.jpg,http://www.e3ol.com/biography/html/张靖/,1,0
245,夏侯献,男,夏侯獻,？-？,史实人物,豫州沛国谯(安徽亳州市亳县),未知,未知,未知,未知,未知,领军将军,魏,魏,0,未知,0,未知,在魏官至中领军、领军将军。魏明帝曹叡病危时，曾要曹宇、夏侯献、曹爽、曹肇、秦朗等人辅政，后改变主意，托孤于曹爽、司马懿，夏侯献等人被免官回家。据说其即为夏侯霸之子。 ,未知,http://www.e3ol.com/biography/pic/id/240/245.jpg,http://www.e3ol.com/biography/html/夏侯献/,1,0
5830,刘昂,男,劉昂,？-公元前154,史实人物,豫州沛国丰(江苏徐州市丰县),未知,未知,未知,未知,未知,暂无相关记载,其他,其他,0,未知,1,第20回,刘邦孙，齐悼惠王子。前176年，文帝封之为平昌侯。前164年又与其兄弟六人同日俱立为王，他被立为胶西王。景帝三年（前154年）汉削吴王刘濞封地，举兵叛乱。他因前已被削六县，遂与吴王同谋起兵，与胶东，淄川二王共围临淄，后兵败自杀。,西汉时期人，演义中曾提到此人。,http://www.e3ol.com/biography/pic/id/240/5830.jpg,http://www.e3ol.com/biography/html/刘昂/,1,0
6110,胡亥,男,胡亥,公元前230-公元前207(24岁),史实人物,冀州赵国邯郸(河北邯郸市),秦始皇,未知,扶苏,未知,未知,皇帝,其他,其他,0,未知,2,第22回|第105回,即秦二世，嬴姓，名胡亥，在位时间前210年～前207年，也称二世皇帝。是秦始皇第十八子，公子扶苏的弟弟，从中车府令赵高学习狱法。秦始皇出游南方病死沙丘宫平台，秘不发丧，在赵高与李斯的帮助下，杀死兄弟姐妹二十余人，并逼死扶苏而当上秦朝的二世皇帝。秦二世即位后，赵高掌实权，实行残暴的统治，终于激起了陈胜、吴广起义，六国旧贵族复国运动。公元前207年胡亥被赵高的心腹阎乐逼迫自杀于望夷宫，卒年24岁。 ,即秦二世，三国演义中有提及此人。,http://www.e3ol.com/biography/pic/id/240/6110.jpg,http://www.e3ol.com/biography/html/胡亥/,1,0
5001,袁宏,男,颜伯,328-376(49岁),史实人物,豫州陈国阳夏(河南周口市太康县),未知,未知,未知,未知,未知,暂无相关记载,其他,其他,0,未知,0,未知,（328-376）东晋史学家。字颜伯、陈郡阳夏（今河南太康）人。少孤贫，以文才出众受豫州刺史谢尚赏识，为谢安参军。后任桓温大司马府记室、掌书记。又以吏部郎出为东阳太守。宏仿荀悦《汉纪》体例，撰《后汉纪》三十卷，又作《竹林名士传》三卷及《三国名臣颂》、《北征赋》、《东征赋》等三百篇，为世所赞。,未知,http://www.e3ol.com/biography/pic/id/240/5001.jpg,http://www.e3ol.com/biography/html/袁宏/,1,0
3748,阮坦,男,弘舒,？-？,史实人物,兖州陈留郡(河南开封市东南),阮炳,未知,阮柯,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,河南尹阮炳之子。晋惠帝时，为太子少傅、平东将军。,未知,http://www.e3ol.com/biography/pic/id/240/3748.jpg,http://www.e3ol.com/biography/html/阮坦/,1,0
1655,柳远,男,柳遠,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,长史,东汉,东汉,0,未知,0,未知,公孙渊长史，奉命设宴假意招待孙权使者贺达、虞咨以便伏击。（出自《魏略》）,未知,http://www.e3ol.com/biography/pic/id/240/1655.jpg,http://www.e3ol.com/biography/html/柳远/,1,0
4365,温生,男,温生,？-？,史实人物,并州太原郡祁(山西晋中市祁县东十公里),温恢,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,温恢之子。以恢功赐爵关内侯，早卒。,未知,http://www.e3ol.com/biography/pic/id/240/4365.jpg,http://www.e3ol.com/biography/html/温生/,1,0
4310,王忠[王修子],男,王忠,？-？,史实人物,青州北海国营陵(山东潍坊市西南),王修,未知,王仪,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,王修子。官至东莱太守、散骑常侍。,未知,http://www.e3ol.com/biography/pic/id/240/4310.jpg,http://www.e3ol.com/biography/html/王忠[王修子]/,1,0
3504,孟他,男,伯郎,？-？,史实人物,司隶扶风(陕西咸阳市兴平市东南南佐村),未知,未知,未知,未知,孟达[蜀],暂无相关记载,东汉,东汉,0,未知,0,未知,灵帝时，张让专权。他以物赂让，拜涼州刺史。,未知,http://www.e3ol.com/biography/pic/id/240/3504.jpg,http://www.e3ol.com/biography/html/孟他/,1,0
1363,朱士行,男,朱士行,203-282(80岁),史实人物,豫州颍川郡(河南许昌市禹州),未知,未知,未知,未知,未知,暂无相关记载,在野,在野,0,未知,0,未知,少年出家为僧，但未受戒。公元250年，印度律学沙门县河迦罗到洛阳译经，在白马寺建立戒坛，首创戒度僧制度。当时，朱士行正在洛阳，立志学佛首先登坛受戒，成为汉土第一个出家沙门的人。 朱士行也是三国时期第一个前去西域求法的僧人。他出家受戒以后，在洛阳钻研讲解《小品般若》，感到经中译理未尽。因为当初翻译的人把领会不透的内容删略了很多，讲解起来词意不明，又不联贯。他听说西域有完备的《大品经》，就决心远行去寻找原本。公元260年，他从雍州(今长安县西北)出发，越过流沙到于阗国(今新疆和田一带)，果然得到《大品经》梵本。他就在那里开始抄写，共抄写90章，60多万字。公元282年，朱士行就派弟子弗如檀等，把抄写的经本送回洛阳，自己仍留在于阗，后来在那里去世，年80岁。公元291年，陈留仓垣水南寺印度籍僧人竺叔兰等开始翻译、校订朱士行抄写的《大品般若》经本。历时12年，译成汉文《放光般若经》，共20卷。不见于《三国志》记载。,未知,http://www.e3ol.com/biography/pic/id/240/1363.jpg,http://www.e3ol.com/biography/html/朱士行/,1,0
3520,明山,男,明山,？-？,史实人物,并州太原郡祁(山西晋中市祁县东十公里),王凌,未知,金虎|王飞枭|王广|王金虎,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,王淩少子。善书法，多技艺。时司马懿专权，其父谋立楚王彪，事败，当夷三族。他逃往太原，投食亲家，亲家告吏，被捕。死时四十余岁。,未知,http://www.e3ol.com/biography/pic/id/240/3520.jpg,http://www.e3ol.com/biography/html/明山/,1,0
4495,夏侯廙,男,夏侯廙,？-？,史实人物,豫州沛国谯(安徽亳州市亳县),夏侯充,未知,未知,未知,夏侯劭,暂无相关记载,西晋,西晋,0,未知,0,未知,夏侯惇之孙，夏侯充之子。充死，袭其封爵。,未知,http://www.e3ol.com/biography/pic/id/240/4495.jpg,http://www.e3ol.com/biography/html/夏侯廙/,1,0
5958,周襄王,男,周襄王,？-公元前619,史实人物,洛邑(河南洛阳市),周惠王,未知,未知,未知,未知,暂无相关记载,其他,其他,0,未知,1,第14回,周惠王的儿子，《史记·周本纪》称襄王在位32年，《左传》称襄王在鲁文公八年（前619年）秋天去世。惠王死后，襄王惧怕异母弟王子带争夺王位继承权，秘不发丧，并派人向齐国求援，襄王直到大局已定才公布父王死讯。前636年，王子带欲图篡位，以狄人攻周，大败周师，周襄王逃到郑国。当时晋文公势力强大，在前635年出兵助襄王，杀王子带，迎接周襄王返回洛阳复位。前632年，晋文公召襄王，襄王亲自到践土（今河南原阳西南）会见他。周襄王在位期间宋襄公、晋文公、秦穆公相继称霸。在位期间执政为宰孔、周公忌父、王子虎、周公阅、王叔桓公。,东周时期人，演义中曾提到此人。,http://www.e3ol.com/biography/pic/id/240/5958.jpg,http://www.e3ol.com/biography/html/周襄王/,1,0
4914,应璩,男,休琏,190-252(63岁),史实人物,豫州汝南郡南顿(河南项城市西),应珣,未知,应玚,未知,应纯|应秀|应贞,暂无相关记载,魏,魏,0,未知,0,未知,博学好文。历官散骑常侍。齐王芳即位，迁侍中、大将军长史。曹爽辅政，多违法度，璩写诗文以讽谏，多切时要，世共传之。复为侍中，典著作。嘉平四年（252）卒。追赠卫尉。,未知,http://www.e3ol.com/biography/pic/id/240/4914.jpg,http://www.e3ol.com/biography/html/应璩/,1,0
999,蒋石,男,蔣石,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉|魏,0,未知,0,未知,凉州刺史韩遂部将，后斩遂，叛降曹操。,未知,http://www.e3ol.com/biography/pic/id/240/999.jpg,http://www.e3ol.com/biography/html/蒋石/,2,0
6090,秦穆公,男,秦穆公,？-公元前621,史实人物,暂无相关记载,秦德公,未知,秦宣公|秦成公,未知,怀嬴,秦国国君,其他,其他,0,未知,1,第91回,春秋时代秦国国君。嬴姓，名任好。在位三十九年（前659年-前621年）。在部分史料中被认定为春秋五霸之一。秦穆公非常重视人才，其任内获得了百里奚、蹇叔、丕豹、公孙支等贤臣的辅佐，曾协助晋文公回到晋国夺取君位。周襄王时出兵攻打蜀国和其他位于函谷关以西的国家，开地千里，因而周襄王任命他为为西方诸侯之伯，遂称霸西戎。 ,春秋时代秦国国君，演义中有提及此人。,http://www.e3ol.com/biography/pic/id/240/6090.jpg,http://www.e3ol.com/biography/html/秦穆公/,1,0
2923,景养,男,景養,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,吴,吴,0,未知,0,未知,曾为孙皓相，言其当大贵。,未知,http://www.e3ol.com/biography/pic/id/240/2923.jpg,http://www.e3ol.com/biography/html/景养/,1,0
6078,张皇后[曹芳妻],女,張皇後,？-254,史实人物,冯翊高陵(陕西西安市高陵),张缉,未知,张邈[魏],曹芳,未知,暂无相关记载,魏,魏,0,未知,0,未知,张缉之女，曹芳皇后。嘉平六年（254），因司马师专权，张缉与夏侯玄、李丰等谋诛司马师，事情败露后被杀。同年三月，张皇后因父亲之罪而被废黜，不久被杀害。,未知,http://www.e3ol.com/biography/pic/id/240/6078.jpg,http://www.e3ol.com/biography/html/张皇后[曹芳妻]/,1,1
2367,高浑,男,高渾,？-？,史实人物,兖州陈留郡圉(河南开封市杞县南二十五公里),未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,安国侯高柔孙。柔死后，浑嗣。元帝咸熙中，开建五等，改封昌陆子。,未知,http://www.e3ol.com/biography/pic/id/240/2367.jpg,http://www.e3ol.com/biography/html/高浑/,1,0
422,留略,男,留略,？-？,史实人物,扬州会稽郡长山(浙江金华市),未知,未知,未知,未知,未知,东海太守,吴,吴,1,公元252年,1,第108回,留赞之子。建兴元年十月，大帝崩，太傅诸葛恪会众於东兴，更作大堤，左右结山侠筑两城，各留千人，使都尉略、将军全端守之，引军而还。五凤二年，以略为东海太守。,大帝崩，建兴元年，魏军来攻东兴。时，略守右城、全端守左城，魏将胡遵令桓嘉、韩综攻之。略率众死守，后平北将军丁奉率援军至。,http://www.e3ol.com/biography/pic/id/240/422.jpg,http://www.e3ol.com/biography/html/留略/,1,0
2747,华轶,男,彦夏,？-312,史实人物,青州平原郡高唐(山东德州市禹城市西南二十五公里),华澹,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,少有才气，闻于当世。初为博士，累迁散骑常侍。司马越为兖州牧，引为留府长史。永嘉中，历振威将军、江州刺史。永嘉五年（311），怀帝为刘聪所擒。司空荀藩移檄州郡，以琅邪王司马睿为盟主。睿承制改易长史，轶不从命，睿于是遣左将军王敦都督甘卓、周访、宋典、赵诱等讨之，轶众溃，被斩首，传首建邺。,未知,http://www.e3ol.com/biography/pic/id/240/2747.jpg,http://www.e3ol.com/biography/html/华轶/,1,0
1398,邢颙,男,子昂,？-223,史实人物,冀州河间国鄚(河北沧州市任丘鄚州镇),未知,未知,未知,未知,邢友,太常|关内侯,魏,魏,0,未知,0,未知,举孝廉，司徒辟，皆不就。易姓字，適右北平，从田畴游。积五年，而太祖定冀州。颙装还乡里，畴曰：“邢颙，民之先觉也。”乃见太祖，求为乡导以克柳城。太祖辟颙为冀州从事，又除广宗长，以故将丧弃官。有司举正，太祖曰：“颙笃于旧君，有一致之节。”勿问也。更辟司空掾，除行唐令，劝民农桑，风化大行。入为丞相门下督，迁左冯翊，病，去官。太祖以颙渊深法度，为平原侯植家丞。后参丞相军事，转东曹掾。太祖问颙定太子事，以为太子少傅，迁太傅。文帝践阼，为侍中尚书仆射，赐爵关内侯，出为司隶校尉，徙太常。黄初四年薨。子友嗣。,未知,http://www.e3ol.com/biography/pic/id/240/1398.jpg,http://www.e3ol.com/biography/html/邢颙/,1,0
1652,宿舒,男,宿舒,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,校尉,东汉,东汉,0,未知,0,未知,公孙渊部下校尉，与孙综一同奉命出使东吴以称籓于权，并献貂马。,未知,http://www.e3ol.com/biography/pic/id/240/1652.jpg,http://www.e3ol.com/biography/html/宿舒/,1,0
970,韩谧,男,长深,？-300,史实人物,荆州南阳郡堵阳(河南南阳市方城县东约三公里),韩寿,未知,韩蔚,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,韩寿子，过继于贾充，故称贾谧。好学有才思，但骄侈踰度。石崇等皆附会于谧，号为二十四友。任散骑常侍、后军将军。又为秘书监，掌国史。惠帝时，谧主张晋朝以泰始元年（265）为断限，从之。转侍中。后与贾后共诬陷太子。永康元年（300），赵王伦废贾后，谧与其党并伏诛。,未知,http://www.e3ol.com/biography/pic/id/240/970.jpg,http://www.e3ol.com/biography/html/韩谧/,1,0
2736,华缉,男,華緝,？-？,史实人物,青州平原郡高唐(山东德州市禹城市西南二十五公里),未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,华歆之弟。文帝时分歆户邑封缉为列侯。,未知,http://www.e3ol.com/biography/pic/id/240/2736.jpg,http://www.e3ol.com/biography/html/华缉/,1,0
5936,师旷,男,子野,？-？,史实人物,司隶河东郡杨(山西临汾市洪洞县东南七公里),未知,未知,未知,未知,未知,暂无相关记载,其他,其他,0,未知,1,第45回,乐师。春秋晋国杨邑(今山西洪洞师村)人。师旷生而无目，自称盲臣。曾担任晋国大夫，精音律，善弹琴，也会鼓瑟。晋平公曾铸有大钟，乐工都以为音律和谐，只有师旷说“不调”，后来齐国乐师师涓证实师旷所言不假。撰《宝符》100卷。,春秋时期人，演义中曾提到此人。,http://www.e3ol.com/biography/pic/id/240/5936.jpg,http://www.e3ol.com/biography/html/师旷/,1,0
2268,樊震,男,樊震,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,任镇西将军邓艾部将。后入晋，为积射将军、西戎牙门。,未知,http://www.e3ol.com/biography/pic/id/240/2268.jpg,http://www.e3ol.com/biography/html/樊震/,1,0
6081,张氏[陆抗妻],女,張氏,？-？,史实人物,徐州彭城国彭城(江苏徐州市),张承[吴],未知,未知,陆抗,陆景,暂无相关记载,吴,吴,0,未知,0,未知,陆抗妻。为张昭的孙女，张承之女，陆景之母，诸葛恪外甥女。恪被诛，张氏坐见黜。,未知,http://www.e3ol.com/biography/pic/id/240/6081.jpg,http://www.e3ol.com/biography/html/张氏[陆抗妻]/,1,1
624,纶直,男,綸直,？-238,史实人物,暂无相关记载,未知,未知,未知,未知,未知,将军,东汉,东汉|东汉,1,公元237年,1,第106回,景初二年，渊将反，将军直、贾范等苦谏，渊皆杀之。后渊败死，司马懿封直等之墓，显其遗嗣。（资料取自晋书，三国志未记载此人）,渊将反，直以不详征兆劝之，渊勃然大怒，叱武士绑直斩于市。后渊败死，司马懿封其墓而荣其子孙。,http://www.e3ol.com/biography/pic/id/240/624.jpg,http://www.e3ol.com/biography/html/纶直/,2,0
1508,韩冉,男,韓冉,？-220,史实人物,暂无相关记载,未知,未知,未知,未知,未知,军谋掾,蜀,蜀,0,未知,0,未知,为刘备军谋掾。献帝建安二十五年（220），曹操卒。备遣冉奉书吊，并送锦布为礼。曹丕恶其借丧求好，命荆州刺史斩冉，绝其使命。又说冉称疾住上庸，致书于曹丕，病卒。,未知,http://www.e3ol.com/biography/pic/id/240/1508.jpg,http://www.e3ol.com/biography/html/韩冉/,1,0
6057,孙氏[刘纂妻],女,孫氏,？-？,史实人物,扬州吴郡富春(浙江杭州市富阳),孙权,未知,孙霸|孙登[吴]|孙休|孙和|孙亮|孙鲁班|孙虑[孙权子]|孙奋|孙鲁育,刘纂,未知,暂无相关记载,吴,吴,0,未知,0,未知,三国时吴主孙权中女。刘纂妻，早卒。,未知,http://www.e3ol.com/biography/pic/id/240/6057.jpg,http://www.e3ol.com/biography/html/孙氏[刘纂妻]/,1,1
4128,僮芝,男,僮芝,？-？,史实人物,扬州丹阳郡(安徽宣城市宣州区),未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,江表传曰：时丹杨僮芝自署庐陵太守，策留贲弟辅领兵住南昌，策谓贲曰：“兄今据豫章，是扼僮芝咽喉而守其门户矣。但当伺其形便，因令国仪杖兵而进，使公瑾为作势援，一举可定也。”后贲闻芝病，即如策计。周瑜到巴兵，辅遂得进据庐陵。,未知,http://www.e3ol.com/biography/pic/id/240/4128.jpg,http://www.e3ol.com/biography/html/僮芝/,1,0
6029,刘建[贞王],男,劉建,？-151,史实人物,荆州南阳郡蔡阳(湖北襄阳市枣阳西南),刘政,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,东汉宗室。河间惠王刘政之子，嗣爵为王。凡立十年，桓帝元嘉元年卒，谥为贞王。,未知,http://www.e3ol.com/biography/pic/id/240/6029.jpg,http://www.e3ol.com/biography/html/刘建[贞王]/,1,0
2751,桓超,男,桓超,？-？,史实人物,荆州长沙郡临湘(湖南长沙市),未知,未知,未知,未知,桓胜,暂无相关记载,东汉,东汉,0,未知,0,未知,魏尚书令桓阶祖父，桓胜之父。曾典州郡。,未知,http://www.e3ol.com/biography/pic/id/240/2751.jpg,http://www.e3ol.com/biography/html/桓超/,1,0
2852,贾逵[东汉],男,景伯,30-101(72岁),史实人物,司隶扶风平陵(陕西咸阳市西北),未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,经学家。贾谊九世孙。父徽，曾从刘歆受学。逵悉传其父业，博通经史。永平中，进献《春秋左氏传解诂》及《国语解诂》，为明帝所重，并奉旨作《神雀颂》，以博物多识拜为郎，与班固并校秘书。章帝时，受诏讲学于北宫白虎观、南宫云台。和帝永元三年（91），任左中郎将，后迁侍中，领骑都尉。世称通儒。,未知,http://www.e3ol.com/biography/pic/id/240/2852.jpg,http://www.e3ol.com/biography/html/贾逵[东汉]/,1,0
